Date/Time,Wind Speed (m/s),LV ActivePower (kW),Theoretical_Power_Curve (KWh),Wind Direction (°),,,
02 01 2018 00:10,12.18,3374.423096,3547.627655,197.7438965,,,12.18
02 01 2018 00:20,12.21,3401.081055,3550.307222,196.8088074,,,12.21
02 01 2018 00:30,12.6,3469.412109,3585.959181,193.8157043,,,12.6
02 01 2018 00:40,12.84,3511.809082,3595.996394,194.3466034,,,12.84
02 01 2018 00:50,12.5,3536.759033,3578.911555,196.009201,,,12.5
02 01 2018 01:00,12.1,3467.808105,3536.105139,197.9526978,,,12.1
02 01 2018 01:10,12.2,3460.677002,3549.206917,201.330307,,,12.2
02 01 2018 01:20,12.55,3589.443115,3582.702554,201.1882019,,,12.55
02 01 2018 01:30,12.62,3527.718994,3586.762967,202.6235962,,,12.62
02 01 2018 01:40,13.1,3561.26709,3600,201.7666016,,,13.1
02 01 2018 01:50,13.69,3604.068115,3600,199.0195007,,,13.69
02 01 2018 02:00,14.1,3604.176025,3600,196.2552032,,,14.1
02 01 2018 02:10,14.39,3593.200928,3600,195.8798981,,,14.39
02 01 2018 02:20,14.08,3493.821045,3600,197.6403046,,,14.08
02 01 2018 02:30,14.05,3470.701904,3600,197.2447968,,,14.05
02 01 2018 02:40,13.51,3436.610107,3600,195.9954071,,,13.51
02 01 2018 02:50,13.71,3401.455078,3600,192.4197998,,,13.71
02 01 2018 03:00,13.74,3395.23291,3600,191.0137024,,,13.74
02 01 2018 03:10,13.14,3417.503906,3600,192.2046967,,,13.14
02 01 2018 03:20,12.87,3465.108887,3596.50506,192.771698,,,12.87
02 01 2018 03:30,12.85,3467.417969,3596.060138,192.4705048,,,12.85
02 01 2018 03:40,12.73,3522.406982,3592.421666,192.5679016,,,12.73
02 01 2018 03:50,12.52,3510.10791,3580.322941,194.9992065,,,12.52
02 01 2018 04:00,12.6,3513.844971,3585.767414,196.0422974,,,12.6
02 01 2018 04:10,13.23,3564.008057,3600,196.4087982,,,13.23
02 01 2018 04:20,13.09,3475.278076,3600,198.5249939,,,13.09
02 01 2018 04:30,12.92,3561.990967,3597.329407,198.0101013,,,12.92
02 01 2018 04:40,12.63,3521.554932,3587.762741,197.6634979,,,12.63
02 01 2018 04:50,12.83,3493.60791,3595.524457,201.1040955,,,12.83
02 01 2018 05:00,12.54,3555.304932,3582.111096,200.3634033,,,12.54
02 01 2018 05:10,12.1,3377.12793,3537.337786,196.9826965,,,12.1
02 01 2018 05:20,12.36,3479.626953,3567.394707,199.798996,,,12.36
02 01 2018 05:30,12.6,3539.112061,3586.079315,201.2702942,,,12.6
02 01 2018 05:40,12.21,3430.436035,3551.161616,198.9846039,,,12.21
02 01 2018 05:50,11.99,3301.917969,3520.011831,202.5711975,,,11.99
02 01 2018 06:00,11.68,3235.543945,3463.031603,200.7035065,,,11.68
02 01 2018 06:10,12.47,3519.022949,3576.798254,197.8733978,,,12.47
02 01 2018 06:20,12.49,3469.537109,3578.748756,201.1011047,,,12.49
02 01 2018 06:30,11.79,3296.186035,3485.417643,200.3565979,,,11.79
02 01 2018 06:40,10.9,3045.51001,3237.314957,199.4629059,,,10.9
02 01 2018 06:50,12.19,3444.741943,3548.214895,202.7460022,,,12.19
02 01 2018 07:00,11.98,3417.746094,3518.508247,199.4022064,,,11.98
02 01 2018 07:10,10.67,2807.613037,3144.977295,197.2297058,,,10.67
02 01 2018 07:20,9.7,2493.393066,2588.59196,200.3191986,,,9.7
02 01 2018 07:30,11.42,3215.196045,3400.782508,200.488205,,,11.42
02 01 2018 07:40,12.69,3589.590088,3590.573175,199.5281067,,,12.69
02 01 2018 07:50,13.06,3599.149902,3600,200.6078033,,,13.06
02 01 2018 08:00,11.52,3375.177002,3426.922472,195.8547058,,,11.52
02 01 2018 08:10,11.51,3346.980957,3424.84719,197.7467041,,,11.51
02 01 2018 08:20,12.42,3567.967041,3572.336603,199.1638031,,,12.42
02 01 2018 08:30,12.16,3519.264893,3544.686608,198.3968964,,,12.16
02 01 2018 08:40,11.67,3485.191895,3461.269666,194.6569977,,,11.67
02 01 2018 08:50,11.15,3145.562988,3321.545696,195.8325043,,,11.15
02 01 2018 09:00,10.77,2978.310059,3186.225079,193.1703949,,,10.77
02 01 2018 09:10,10.93,3179.008057,3247.07462,195.0997009,,,10.93
02 01 2018 09:20,12.14,3461.581055,3542.069502,198.2947998,,,12.14
02 01 2018 09:30,11.2,3082.549072,3337.205225,200.7570038,,,11.2
02 01 2018 09:40,12.95,3493.657959,3597.678446,204.0805969,,,12.95
02 01 2018 09:50,14.88,3601.045898,3600,197.5942993,,,14.88
02 01 2018 10:00,15.12,3597.564941,3600,196.3455963,,,15.12
02 01 2018 10:10,16.29,3602.172119,3600,196.8367004,,,16.29
02 01 2018 10:20,16.12,3601.99292,3600,192.2306061,,,16.12
02 01 2018 10:30,15.27,3600.791016,3600,190.949295,,,15.27
02 01 2018 10:40,13.57,3590.75,3600,192.9456024,,,13.57
02 01 2018 10:50,15.37,3601.845947,3600,194.7528076,,,15.37
02 01 2018 11:00,15.86,3601.870117,3600,195.0402985,,,15.86
02 01 2018 11:10,14.92,3591.655029,3600,197.9895935,,,14.92
02 01 2018 11:20,13.61,3579.024902,3600,201.4945068,,,13.61
02 01 2018 11:30,14.46,3598.131104,3600,200.4884033,,,14.46
02 01 2018 11:40,12.69,3525.333008,3590.527705,202.2259979,,,12.69
02 01 2018 11:50,13.56,3560.699951,3600,202.153595,,,13.56
02 01 2018 12:00,13.32,3537.676025,3600,203.2893982,,,13.32
02 01 2018 12:10,12.61,3491.291016,3586.261512,201.0937042,,,12.61
02 01 2018 12:20,12.31,3530.766113,3562.628404,197.5440979,,,12.31
02 01 2018 12:30,10.38,2915.839111,3006.71767,200.9197998,,,10.38
02 01 2018 12:40,9.12,2178.658936,2219.691985,201.0245056,,,9.12
02 01 2018 12:50,9.25,2244.412109,2308.322526,198.9759979,,,9.25
02 01 2018 13:00,9.07,1278.89502,2190.704763,198.2364044,,,9.07
02 01 2018 13:10,10.34,2832.934082,2988.424599,196.6472015,,,10.34
02 01 2018 13:20,11.1,3205.9729,3307.71074,200.1464996,,,11.1
02 01 2018 13:30,11.07,3149.284912,3296.300642,198.8968048,,,11.07
02 01 2018 13:40,11.33,3273.656006,3375.742901,201.1446075,,,11.33
02 01 2018 13:50,11.02,3114.099121,3277.761152,204.9272003,,,11.02
02 01 2018 14:00,10.91,3111.060059,3238.706158,204.813797,,,10.91
02 01 2018 14:10,11.77,3361.011963,3481.44923,209.778595,,,11.77
02 01 2018 14:20,11.87,3421.419922,3501.130346,209.6006012,,,11.87
02 01 2018 14:30,12.17,3520.148926,3545.851555,208.3181,,,12.17
02 01 2018 14:40,12.82,3589.427002,3595.389466,211.1817932,,,12.82
02 01 2018 14:50,12.57,3495.115967,3584.095307,209.4647064,,,12.57
02 01 2018 15:00,11.4,3298.761963,3395.929165,205.625,,,11.4
02 01 2018 15:10,10.55,2894.440918,3087.174334,200.6107025,,,10.55
02 01 2018 15:20,12.31,3486.628906,3562.063389,202.0561981,,,12.31
02 01 2018 15:30,12.17,3455.24707,3545.731948,203.7207031,,,12.17
02 01 2018 15:40,12.29,3556.785889,3559.699203,204.6085968,,,12.29
02 01 2018 15:50,12.01,3375.582031,3523.986209,201.7415009,,,12.01
02 01 2018 16:00,12.21,3493.979004,3551.318734,201.7156067,,,12.21
02 01 2018 16:10,12.94,3549.147949,3597.57459,199.9685059,,,12.94
02 01 2018 16:20,13.67,3483.315918,3600,203.870697,,,13.67
02 01 2018 16:30,13.7,3589.858887,3600,204.8023071,,,13.7
02 01 2018 16:40,12.76,3584.235107,3593.421089,202.6508026,,,12.76
02 01 2018 16:50,12.77,3599.008057,3593.664238,201.2570953,,,12.77
02 01 2018 17:00,13.08,3602.637939,3600,203.4407043,,,13.08
02 01 2018 17:10,12.59,3550.563965,3585.451317,205.1535034,,,12.59
02 01 2018 17:20,12.51,3552.782959,3580.139581,205.008194,,,12.51
02 01 2018 17:30,12.53,3585.010986,3581.613183,204.1203003,,,12.53
02 01 2018 17:40,11.96,3421.176025,3516.3102,201.9989014,,,11.96
02 01 2018 17:50,11.95,3406.040039,3513.264349,194.3786926,,,11.95
02 01 2018 18:00,12.21,3515.610107,3550.542117,189.5238037,,,12.21
02 01 2018 18:10,12.28,3515.965088,3558.399068,190.5794983,,,12.28
02 01 2018 18:20,12.72,3475.418945,3592.036307,187.6125031,,,12.72
02 01 2018 18:30,12.27,3471.156982,3557.31619,189.4371948,,,12.27
02 01 2018 18:40,11.7,3281.754883,3468.159913,192.2619019,,,11.7
02 01 2018 18:50,10.96,2955.11499,3259.412905,190.4571991,,,10.96
02 01 2018 19:00,11.3,3061.735107,3367.805139,192.8582001,,,11.3
02 01 2018 19:10,10.67,2679.110107,3141.292611,194.0843964,,,10.67
02 01 2018 19:20,10.83,2721.081055,3210.350601,195.2017975,,,10.83
02 01 2018 19:30,10.58,2649.136963,3102.339998,195.3432007,,,10.58
02 01 2018 19:40,10.39,2707.74292,3010.962279,201.797699,,,10.39
02 01 2018 19:50,10.08,2508.832031,2841.099422,204.2073975,,,10.08
02 01 2018 20:00,9.84,2316.647949,2687.688082,199.747406,,,9.84
02 01 2018 20:10,11.44,3081.542969,3406.637064,200.2402954,,,11.44
02 01 2018 20:20,11.94,3397.638916,3512.977172,201.1663971,,,11.94
02 01 2018 20:30,11.86,3391.716064,3498.353994,201.7106018,,,11.86
02 01 2018 20:40,12.81,3587.510986,3595.135782,201.3484955,,,12.81
02 01 2018 20:50,12.91,3603.112061,3597.284381,201.6768951,,,12.91
02 01 2018 21:00,12.73,3591.093018,3592.269026,202.4132996,,,12.73
02 01 2018 21:10,11.66,3221.044922,3459.656972,202.6618958,,,11.66
02 01 2018 21:20,11.1,2887.733887,3305.038612,204.061203,,,11.1
02 01 2018 21:30,10.16,2364.534912,2888.183469,203.3379059,,,10.16
02 01 2018 21:40,9.2,1935.847046,2275.211448,197.8013,,,9.2
02 01 2018 21:50,8.54,1549.480957,1852.273851,195.5061035,,,8.54
02 01 2018 22:00,8.81,1625.755981,2021.754239,187.4846039,,,8.81
02 01 2018 22:10,9.61,1994.222046,2523.60898,188.0238953,,,9.61
02 01 2018 22:20,9.84,2362,2691.848533,190.6604004,,,9.84
02 01 2018 22:30,9.34,2097.771973,2364.198743,196.7335968,,,9.34
02 01 2018 22:40,8.42,1564.590942,1781.899877,197.0158997,,,8.42
02 01 2018 22:50,7.66,1107.474976,1339.713949,188.6903992,,,7.66
02 01 2018 23:00,8.14,1303.116943,1613.847713,181.6596069,,,8.14
02 01 2018 23:10,8.55,1561.182007,1857.140175,173.5366974,,,8.55
02 01 2018 23:20,8.38,1544.999023,1755.627598,171.3834076,,,8.38
02 01 2018 23:30,7.85,1456.738037,1445.553534,179.8197937,,,7.85
02 01 2018 23:40,8.66,1795.644043,1925.374082,188.2382965,,,8.66
02 01 2018 23:50,10.92,2773.291016,3244.617174,179.039093,,,10.92
03 01 2018 00:00,10.41,2782.568115,3019.332696,176.9255981,,,10.41
03 01 2018 00:10,9.5,2446.424072,2468.761378,174.677002,,,9.5
03 01 2018 00:20,11.93,3412.39209,3510.684928,180.6725006,,,11.93
03 01 2018 00:30,11.08,3255.337891,3298.717792,183.8755035,,,11.08
03 01 2018 00:40,10.46,2796.876953,3045.466801,192.1911011,,,10.46
03 01 2018 00:50,9.79,2467.954102,2655.255241,197.104599,,,9.79
03 01 2018 01:00,7.63,1278.886963,1323.911052,202.940506,,,7.63
03 01 2018 01:10,7.29,1042.537964,1150.913828,207.3871002,,,7.29
03 01 2018 01:20,6.23,609.0761719,703.7205269,216.9989014,,,6.23
03 01 2018 01:30,4.47,175.4407043,216.0170723,222.5090942,,,4.47
03 01 2018 01:40,4.13,112.1109009,147.1041396,215.4514008,,,4.13
03 01 2018 01:50,5.03,271.9171143,344.1094784,202.5102997,,,5.03
03 01 2018 02:00,6.27,737.4487915,717.8434981,211.2003021,,,6.27
03 01 2018 02:10,7.76,1375.579956,1397.52319,193.6107025,,,7.76
03 01 2018 02:20,8.22,1520.890015,1658.119112,172.135498,,,8.22
03 01 2018 02:30,7.97,1349.112061,1515.649475,168.3569031,,,7.97
03 01 2018 02:40,6.79,889.1298218,926.0444806,171.1295013,,,6.79
03 01 2018 02:50,5.54,412.115509,479.4472407,162.7037964,,,5.54
03 01 2018 03:00,5.49,444.6036072,466.6197137,150.2816925,,,5.49
03 01 2018 03:10,6.08,655.7307129,650.187023,149.6408997,,,6.08
03 01 2018 03:20,6.69,882.5654297,882.7282325,152.2225037,,,6.69
03 01 2018 03:30,6.85,998.3845825,949.0116113,157.1643066,,,6.85
03 01 2018 03:40,7.76,1193.395996,1395.364787,152.699707,,,7.76
03 01 2018 03:50,7.42,1122.712036,1215.659509,152.076004,,,7.42
03 01 2018 04:00,7.47,1214.125977,1243.600054,154.7837982,,,7.47
03 01 2018 04:10,7.08,1086.307007,1052.768027,160.2183075,,,7.08
03 01 2018 04:20,7.05,1060.603027,1040.356847,165.8153992,,,7.05
03 01 2018 04:30,7.77,1451.713989,1399.150382,170.8444977,,,7.77
03 01 2018 04:40,7.83,1361.459961,1435.998878,173.0240936,,,7.83
03 01 2018 04:50,7.96,1490.569946,1506.776853,173.9763947,,,7.96
03 01 2018 05:00,7.28,1153.139038,1149.012424,176.7931976,,,7.28
03 01 2018 05:10,7,953.9760132,1016.552582,178.0930023,,,7
03 01 2018 05:20,6.76,799.0856934,910.7282546,174.0330048,,,6.76
03 01 2018 05:30,6.18,616.2548218,686.4114027,167.9960022,,,6.18
03 01 2018 05:40,6.3,646.9244995,730.5901706,168.8119965,,,6.3
03 01 2018 05:50,7.52,1323.682007,1267.134969,184.7017975,,,7.52
03 01 2018 06:00,8.09,1568.885986,1584.395551,194.0092926,,,8.09
03 01 2018 06:10,7.85,1580.902954,1448.061049,197.8014984,,,7.85
03 01 2018 06:20,7.72,1495.180054,1373.675076,191.2086945,,,7.72
03 01 2018 06:30,8.85,2063.868896,2046.438946,195.0639038,,,8.85
03 01 2018 06:40,9.63,2368.76001,2540.491731,198.074707,,,9.63
03 01 2018 06:50,9.77,2516.419922,2638.971731,191.838501,,,9.77
03 01 2018 07:00,9.19,2108.770996,2263.873095,190.0070038,,,9.19
03 01 2018 07:10,9.93,2568.111084,2746.29034,179.3226929,,,9.93
03 01 2018 07:20,12.03,3445.219971,3526.952507,175.9355011,,,12.03
03 01 2018 07:30,10.87,2994.106934,3225.769174,180.7583008,,,10.87
03 01 2018 07:40,10.38,2594.937012,3006.931915,177.4212036,,,10.38
03 01 2018 07:50,10.34,2326.825928,2987.588083,164.6313934,,,10.34
03 01 2018 08:00,9.28,1941.463989,2328.307526,157.3659973,,,9.28
03 01 2018 08:10,8.26,1581.487061,1684.577838,151.1777039,,,8.26
03 01 2018 08:20,7.16,1013.286987,1090.179344,144.4230042,,,7.16
03 01 2018 08:30,5.5,375.6176147,469.6191644,145.3318024,,,5.5
03 01 2018 08:40,4.65,198.1511993,253.4672425,155.7653046,,,4.65
03 01 2018 08:50,3.85,87.44045258,100.642022,162.271698,,,3.85
03 01 2018 09:00,4.55,189.1378021,233.4558636,148.0536041,,,4.55
03 01 2018 09:10,5.74,434.4317932,539.5070619,136.6712036,,,5.74
03 01 2018 09:20,5.06,336.5007935,350.3694191,139.4640045,,,5.06
03 01 2018 09:30,4.92,296.6101074,317.1718028,141.7938995,,,4.92
03 01 2018 09:40,3.82,92.9240036,96.25248176,148.5747986,,,3.82
03 01 2018 09:50,3.58,85.70230103,61.57702143,165.8957062,,,3.58
03 01 2018 10:00,4.72,309.5114136,269.2057367,187.6051941,,,4.72
03 01 2018 10:10,5.08,381.1726074,356.114453,188.4362946,,,5.08
03 01 2018 10:20,5.34,417.2662964,425.0226087,202.2389984,,,5.34
03 01 2018 10:30,5.45,446.343811,455.4989836,201.0330963,,,5.45
03 01 2018 10:40,4.3,206.6020966,180.2207304,191.4851074,,,4.3
03 01 2018 10:50,4.74,251.3757019,273.7530825,183.4333954,,,4.74
03 01 2018 11:00,4.78,275.0136108,283.8646662,187.9405975,,,4.78
03 01 2018 11:10,4.89,314.2744141,310.4131199,180.8480072,,,4.89
03 01 2018 11:20,4.49,238.7823029,219.355975,185.8578033,,,4.49
03 01 2018 11:30,5.31,409.0264893,417.2631565,180.8168945,,,5.31
03 01 2018 11:40,5.71,506.4703064,531.9193571,186.1788025,,,5.71
03 01 2018 11:50,5.37,427.9566956,433.7182755,196.3742065,,,5.37
